Name,Category,Education,Skills,Experience
Joshua Nichols,Blockchain,BTECH,"ethereum, web3.js, smart contracts, solidity",8.7
Ronald Pierce,Civil Engineer,BE,"autocad, estimation, structural analysis, construction",8.3
Amanda Rogers,Business Analyst,BTECH,"sql, requirement gathering, analytics, power bi, excel",5.1
Justin Mcintyre,Python Developer,MTECH,"fastapi, python, flask, pandas",7.4
Valerie Rodriguez,Operations Manager,MBA,"strategy, operations, supply chain, team management",6.0
Richard Lee,Arts,BA,"sociology, drawing, psychology, history",15.0
Amanda Howard,Arts,BA,"sociology, psychology, sculpting, history",6.0
Kristen White,DotNet Developer,BTECH,"c#, asp.net, mvc, entity framework, .net",10.6
Daniel Watson,Sales,BA,"lead generation, crm, negotiation, cold calling",11.9
Anthony Wheeler,Automation Testing,BTECH,"selenium, automation, python, pytest",8.1
Amber Pruitt,Health and fitness,BSC,"fitness coaching, yoga, anatomy",3.8
Jasmine Robertson,Operations Manager,MBA,"team management, supply chain, logistics",8.7
Julian Harrison,Java Developer,BE,"rest api, microservices, java, spring",10.3
Chris Newman,Health and fitness,BA,,13.4
Julie Wilson,Database,BTECH,"oracle, dbms, mongodb, postgresql",9.8
Kristen Webb,Sales,BA,"lead generation, , cold calling, negotiation, crm",1.8
Sandra Gates,Business Analyst,MBA,"power bi, sql, requirement gathering, excel",4.4
Kayla Young,Blockchain,MTECH,", smart contracts, web3.js, ethereum, solidity",7.4
Julia Watson,Automation Testing,BTECH,"pytest, python, automation, selenium",6.4
Jill Mitchell,ETL Developer,BE,"sql, data warehousing, etl, ssrs, informatica",8.0
Stephanie Washington,Database,BTECH,"sql, postgresql, mongodb, oracle, dbms",6.1
Anne Shepard,Hadoop,BTECH,"spark, ,, mapreduce, hive, pig",11.4
Jeff Kelley,Tableau Developer,MBA,"bi tools, dashboards, data visualization, tableau",12.8
Amanda Williams,Web Designing,BA,"bootstrap, css, figma, javascript",14.6
Joshua Smith,Network Security Engineer,BTECH,"vpn, networking, cybersecurity, security",8.0
Dylan Dickerson,Sales,MBA,"lead generation, , crm",10.2
Stephen Smith,Java Developer,BTECH,"hibernate, microservices, spring, java, rest api",10.2
Kelsey Moran,SAP Developer,BTECH,"sap hana, sap, abap",10.6
Deborah Johnson,Network Security Engineer,BE,"vpn, firewall, security, networking, cybersecurity",14.2
Rebecca Cole,Python Developer,MTECH,"flask, python, fastapi, pandas",4.9
Steven Padilla,SAP Developer,BTECH,"abap, fiori, sap, sap hana",11.0
Sherry Reynolds,Business Analyst,BTECH,"analytics, requirement gathering, sql",11.7
James Barrett,Sales,MBA,"crm, , negotiation",5.7
Maria Smith,Web Designing,BSC,"javascript, html, figma",10.9
Belinda Robinson,Mechanical Engineer,BTECH,"autocad, thermodynamics, mechanics, solidworks, cam",3.2
Barbara Burns,Electrical Engineer,BTECH,"matlab, circuit design, signal processing, electronics",3.5
Alicia Spence,Operations Manager,BE,"automation, junit, pytest, selenium",13.2
Mark Graham,Database,BE,"dbms, postgresql, mongodb, sql",6.0
Jeffrey Nichols,Health and fitness,BA,"nutrition, anatomy, training",1.9
Michael Long,Network Security Engineer,BE,"vpn, firewall, networking",1.8
Billy Morrison,DevOps,BE,"docker, jenkins, kubernetes, ansible",9.5
Ronald Hanson,ETL Developer,MTECH,"data warehousing, ssrs, etl, sql, informatica",2.1
Bonnie Hall,HR,MBA,"interviewing, ms excel, recruitment, employee relations",1.5
Nicolas Brown,HR,BA,"interviewing, recruitment, communication, employee relations, ms excel",1.8
Ashley Woodard,HR,BA,"communication, employee relations, recruitment, ms excel",5.5
Jennifer Wilson,DotNet Developer,BE,".net, asp.net, entity framework, mvc, c#",7.6
Kevin Moore,Java Developer,BTECH,"java, spring, microservices, hibernate, rest api",9.5
Deborah Whitehead,Operations Manager,MBA,"strategy, supply chain, operations, team management, logistics",0.7
Greg Murphy,Operations Manager,MBA,"team management, operations, logistics",10.4
Michele Mendoza,SAP Developer,BTECH,"fiori, sap, sap hana, erp, abap",11.2
Susan Fitzgerald,Web Designing,BSC,"training, fitness coaching, yoga, anatomy",6.6
Michael Thompson,DevOps,BTECH,"docker, ci/cd, kubernetes, ansible",12.8
Nicholas Savage,Health and fitness,BSC,"training, yoga, anatomy, fitness coaching",14.0
Barbara Bruce,DevOps,BE,"jenkins, docker, kubernetes",6.3
Benjamin Orozco,Operations Manager,MBA,"team management, logistics, strategy, operations",5.7
Kathryn Fox,DotNet Developer,BE,".net, entity framework, c#, asp.net, mvc",10.7
Brittany Preston,Automation Testing,BTECH,"automation, python, pytest, junit, selenium",10.0
Sarah Paul,Automation Testing,BTECH,"selenium, automation, python, pytest, junit",13.1
Caleb Guerrero,Arts,BA,"drawing, psychology, history, sociology,    ",4.6
Cynthia Ruiz,Health and fitness,BA,"anatomy, fitness coaching, nutrition",11.9
Laura Randall,Database,MTECH,"postgresql, sql, mongodb, oracle",11.5
Sharon Rodriguez,Hadoop,BTECH,"hive, spark, pig, mapreduce",12.2
Danielle Holland,SAP Developer,BTECH,"sap, fiori, erp, abap",8.3
Margaret Brown,Network Security Engineer,BE,"cybersecurity, security, vpn, firewall, networking",10.5
Cody Davis,Blockchain,BTECH,", smart contracts, ethereum",13.7
Adrienne Espinoza,Sales,BA,"cold calling, crm, lead generation, ",2.1
Mr. Perry Alvarez,DotNet Developer,BE,"entity framework, c#, mvc",6.6
Penny Torres,Mechanical Engineer,BE,"solidworks, thermodynamics, mechanics, autocad, cam",12.2
Sharon Warren,Arts,BA,"psychology,    , painting",7.5
Rebecca Butler,Python Developer,BE,"fastapi, django, python",11.8
Alyssa Stephens,Java Developer,BTECH,"spring, hibernate, rest api, microservices, java",5.2
Joshua Johnson,Mechanical Engineer,BE,"cam, mechanics, thermodynamics, autocad",0.9
Peter Wise,Data Scientist,BTECH,"solidworks, autocad, mechanics, cam",8.8
Shane Martin,Network Security Engineer,BTECH,"networking, security, firewall, cybersecurity, vpn",12.6
Christopher Rose,Java Developer,BE,"microservices, java, spring, hibernate, rest api",8.4
Jose Cameron,SAP Developer,MBA,"ms project, agile, jira, scrum",6.5
Antonio Cole,Web Designing,BA,"figma, html, css",9.6
Ashley Myers,DotNet Developer,BE,"mvc, entity framework, c#, asp.net",11.1
Matthew Ford,PMO,BTECH,"solidity, ethereum, web3.js",4.9
Justin Smith,Web Designing,BSC,"figma, css, javascript",11.4
Chad Lane,SAP Developer,BTECH,"sap hana, fiori, erp",9.0
Matthew Rodriguez,Business Analyst,MBA,"analytics, power bi, excel, requirement gathering",0.7
David Mueller,Engineer,BTECH,"embedded systems, control systems, c, matlab",0.7
Charles Golden Jr.,Blockchain,MTECH,"jenkins, ansible, docker",8.3
Patricia Rogers DVM,Hadoop,BE," , hive, pig, spark, mapreduce",15.0
Judy Wilkerson MD,Operations Manager,MBA,"logistics, team management, supply chain, operations",6.5
Luis Jones,Business Analyst,BA,"analytics, power bi, sql",13.8
Tiffany Turner,Civil Engineer,BTECH,"construction, autocad, estimation, structural analysis",0.2
Christina Thomas,ETL Developer,MTECH,"data warehousing, etl, ssrs",10.4
Megan Taylor,Hadoop,MTECH,"spark, hive, mapreduce, pig,  ",2.4
James Williams,Python Developer,MBA,"tableau, bi tools, sql, data visualization, dashboards",8.0
David Smith,Web Designing,BSC,"bootstrap, javascript, figma, html, css",8.6
Donna Garcia,Civil Engineer,BA,"communication, employee relations, ms excel",13.5
Corey Mercado,ETL Developer,BE,"etl, ssrs, data warehousing, sql",7.4
Derek Franklin,Operations Manager,BTECH,"firewall, networking, cybersecurity, vpn",1.2
Krista Hudson,Electrical Engineer,BTECH,"matlab, electronics, signal processing, circuit design",0.9
David Miller,Network Security Engineer,BE,"security, vpn, networking",11.8
Anthony Mckee,Business Analyst,BA,"analytics, excel, requirement gathering, sql",4.5
Sean Weeks,Advocate,BA,"drafting, litigation, law, legal research, contracts",3.7
Susan Baldwin,SAP Developer,MBA,"abap, erp, fiori, sap, sap hana",5.1
Anna Bauer,HR,PHD,"law, legal research, contracts",14.0
Regina Walsh,Advocate,PHD,"contracts, law, drafting",9.5
Bobby Gomez,Engineer,BTECH,"matlab, embedded systems, c++, c, control systems",10.5
Susan Wallace,Hadoop,MTECH,"mapreduce, pig,  , spark, hive",2.9
Ryan Jackson,Business Analyst,BTECH,"analytics, sql, power bi, requirement gathering, excel",1.6
Jennifer Bradshaw,Database,BE,"dbms, postgresql, oracle, mongodb",5.7
Jennifer White,Automation Testing,BTECH,"junit, automation, selenium, pytest",2.6
Eddie Valdez,Operations Manager,BTECH,"logistics, supply chain, team management",14.7
Renee Austin DVM,Civil Engineer,BE,"autocad, construction, estimation, structural analysis",14.6
Nicole Harrington,Tableau Developer,BE,"cybersecurity, vpn, networking",6.7
William Edwards,Advocate,BA,"legal research, litigation, contracts, drafting, law",7.0
Marisa Lopez,Java Developer,BTECH,"hibernate, spring, rest api, java",11.3
David Fitzgerald,Advocate,BTECH,"sql, analytics, power bi",2.1
Melissa Mack,Operations Manager,BTECH,"supply chain, strategy, operations, logistics",4.3
Christopher Barber,Hadoop,MTECH,"mapreduce, spark, pig, hive,  ",12.4
Suzanne Dunn,Mechanical Engineer,BE,"solidworks, cam, autocad",6.5
Christina Bowers,Mechanical Engineer,BE,"cam, autocad, thermodynamics, mechanics, solidworks",6.6
Stephanie Gutierrez,Data Scientist,MTECH,"deep learning, statistics, ml, python, data mining",13.3
Jeffery Thomas,DotNet Developer,BTECH,"mvc, entity framework, .net, c#",1.4
Nicole Koch,Database,MTECH,"microservices, spring, hibernate",12.5
Anthony Flores,Operations Manager,MBA,"supply chain, logistics, operations",2.7
Linda Brooks,HR,MBA,"interviewing, employee relations, recruitment",4.1
Christopher Howard,Sales,BA,"cold calling, negotiation, lead generation, ",6.6
Sean Clark,Business Analyst,BA,"sql, requirement gathering, analytics",0.8
Taylor Moody,DevOps,BE,"kubernetes, ansible, jenkins, ci/cd, docker",1.2
Brittney Johnson,Health and fitness,BA,"training, anatomy, yoga",13.3
Timothy Williams,HR,MBA,"recruitment, interviewing, communication, ms excel",14.9
Jennifer Morse,Tableau Developer,MBA,"tableau, sql, dashboards, data visualization, bi tools",9.5
Michael Waters,Database,BE,"dbms, sql, postgresql, mongodb, oracle",8.5
Tiffany Turner,Business Analyst,MBA,"requirement gathering, analytics, excel",10.9
Michael Johnson,Automation Testing,BTECH,"python, pytest, selenium, junit, automation",6.2
Donna Kelly,PMO,MBA,"agile, scrum, project management, ms project",11.0
Shannon Carlson,HR,BA,"recruitment, ms excel, interviewing, communication",2.3
Jamie Brown,Hadoop,MTECH,"spark, pig, mapreduce,  ",0.0
Cassandra Mitchell,Database,MTECH,"oracle, sql, dbms",3.6
Jessica Roach,Arts,BA,"drawing, psychology, sculpting, painting",9.2
Monica Wallace,Mechanical Engineer,BTECH,"autocad, thermodynamics, solidworks, mechanics",1.5
John Miller,ETL Developer,BTECH,"sql, data warehousing, ssrs",11.9
Rachael Cantu,DotNet Developer,BE,"entity framework, asp.net, mvc, c#",0.9
Karen Simpson,Arts,BA,"history, sociology,    , sculpting, psychology",15.0
Timothy Martin,Business Analyst,MBA,"sql, requirement gathering, power bi, analytics",14.8
Heather Anderson,Python Developer,MTECH,"pandas, python, fastapi, flask, django",3.7
Michael Benson,Automation Testing,BE,"python, pytest, selenium, junit, automation",7.6
Mandy Newton,Health and fitness,BSC,"nutrition, yoga, training",9.0
Krista Ryan,Blockchain,MTECH,"mapreduce,  , spark, hive, pig",7.0
Christopher Richardson,Arts,BA,"drawing, sociology, history, painting",3.7
Matthew Lawson,Tableau Developer,MBA,"tableau, sql, data visualization, dashboards, bi tools",5.3
Dr. Kristin Romero,Business Analyst,MBA,"excel, sql, analytics, requirement gathering, power bi",4.6
Brenda Harris,Network Security Engineer,BTECH,"dbms, oracle, postgresql",4.4
Richard Johnston,Electrical Engineer,BE,"electronics, circuit design, matlab, vlsi",14.8
Charles Cunningham,ETL Developer,BE,"data warehousing, informatica, etl",11.7
Amber Banks,Business Analyst,BA,"requirement gathering, sql, excel",6.5
Susan Mitchell,Blockchain,BTECH,"web3.js, ethereum, solidity, , smart contracts",4.2
Michael Noble PhD,Database,BTECH,,4.7
Amy Guzman,Python Developer,MTECH,"fastapi, flask, pandas, django",12.7
Marilyn Cohen,HR,MBA,"ms excel, communication, employee relations, interviewing",4.1
Crystal Miller,Sales,MBA,"crm, , lead generation",3.1
Arthur Kennedy,Data Scientist,MTECH,"docker, kubernetes, jenkins",3.0
Tricia Rangel,Java Developer,MTECH,"hibernate, java, spring, rest api, microservices",3.4
Kimberly Moss,Network Security Engineer,BE,"cybersecurity, firewall, networking, security",12.1
Kenneth Williams DVM,PMO,BTECH,"ms project, scrum, project management",12.0
Aaron Cherry,Automation Testing,BE,"python, pytest, junit, selenium, automation",4.9
Cassie Dunlap,Arts,BA,"drawing, sculpting, painting,    , psychology",4.5
Theresa Smith,HR,MBA,"ms excel, interviewing, recruitment",12.3
Heather Waters,SAP Developer,BTECH,"erp, fiori, abap, sap hana, sap",13.7
Kelly Larson,Electrical Engineer,BE,"vlsi, electronics, circuit design",3.4
John Burns,PMO,MBA,"scrum, project management, agile, jira, ms project",3.2
Robert Barrett,Automation Testing,BTECH,"selenium, junit, python",3.4
Joseph Blake,SAP Developer,BTECH,"sap, sap hana, erp, abap, fiori",11.2
Bradley Young,Blockchain,BTECH,"web3.js, solidity, smart contracts, ethereum",3.5
Bridget Allen,SAP Developer,MBA,"sap, erp, sap hana, fiori, abap",8.4
Christina Mcclure PhD,HR,BA,"recruitment, employee relations, communication",11.6
Helen Pham,Health and fitness,BSC,"nutrition, anatomy, training, fitness coaching",14.9
John Williams,Blockchain,BTECH,", smart contracts, ethereum, solidity",1.7
Scott Green,Sales,MBA,"cold calling, lead generation, crm, , negotiation",12.6
Christopher Henderson,Business Analyst,MBA,"analytics, sql, power bi, excel, requirement gathering",2.5
Lisa Wilson,Electrical Engineer,BE,"electronics, vlsi, signal processing, matlab",4.4
Erin Swanson,Hadoop,BE,"pig,  , spark, mapreduce, hive",5.1
Cameron Donovan,Arts,BA,"sculpting, history, painting, psychology, drawing",8.1
Timothy Ross,Mechanical Engineer,BTECH,"cam, thermodynamics, autocad",14.4
Christopher Sampson,Health and fitness,BSC,"fitness coaching, training, nutrition, yoga",0.8
Crystal Griffin,Business Analyst,MBA,"negotiation, lead generation, crm",14.3
Justin Woodward,Civil Engineer,BE,"staad pro, estimation, autocad, construction, structural analysis",10.8
Rebecca Miller,Python Developer,MTECH,"pandas, django, python, fastapi",2.0
Michael Davis,Automation Testing,MBA,"excel, sql, analytics, requirement gathering, power bi",0.9
Sandy Chavez,Arts,MBA,"project management, jira, scrum, agile, ms project",7.7
Corey Woods Jr.,Sales,BA,", negotiation, lead generation, cold calling",8.4
Anthony Miller,Java Developer,MTECH,"microservices, rest api, hibernate, java, spring",9.2
Karla Turner,Hadoop,MTECH," , pig, mapreduce",4.6
Maria Holmes,Mechanical Engineer,BE,"c#, .net, mvc, asp.net, entity framework",3.9
Christopher Hester,Business Analyst,BA,"power bi, sql, analytics",7.8
Patricia Jones,Blockchain,MTECH,"jenkins, ansible, docker",10.3
Paul Davis,Operations Manager,MBA,"operations, supply chain, team management",14.9
Alicia Mitchell,Database,BE,"oracle, postgresql, mongodb",14.8
Stephanie Holmes,Civil Engineer,BTECH,"staad pro, autocad, estimation",13.1
Karen Torres,DotNet Developer,BE,"informatica, sql, data warehousing, ssrs, etl",5.6
Dawn Pineda,Data Scientist,BTECH,"python, deep learning, statistics",4.3
Alec Holt,Mechanical Engineer,BE,"autocad, cam, thermodynamics",8.1
Vanessa Sloan,SAP Developer,BTECH,"abap, fiori, sap",2.4
Loretta Bailey DDS,DevOps,BE,"ansible, kubernetes, jenkins, ci/cd",8.7
Jeffrey Velez,DevOps,BE,"docker, ci/cd, ansible",0.9
Stacy Hernandez,Database,MTECH,"dbms, sql, oracle, mongodb",14.9
Stephanie Morton,Mechanical Engineer,BTECH,"solidworks, thermodynamics, autocad, cam",10.5
Amanda Case,Electrical Engineer,BTECH,"electronics, circuit design, vlsi, matlab, signal processing",12.2
Shannon Bailey,Python Developer,MTECH,"python, flask, pandas, fastapi, django",2.1
Mary Vincent,Mechanical Engineer,BE,"mechanics, autocad, cam, thermodynamics",4.0
Elijah Cantu,,BE,"mongodb, dbms, sql",13.8
Benjamin Kidd,Java Developer,BE,"hibernate, microservices, rest api, java, spring",7.9
Alexis Zavala,SAP Developer,BTECH,"abap, sap hana, fiori, sap",0.1
Jennifer Conway,Hadoop,BE,"spark, mapreduce,  , hive, pig",0.4
Amanda Choi,Database,BTECH,"mongodb, dbms, oracle, sql",8.3
Danielle Woods,Tableau Developer,BTECH,"tableau, bi tools, sql",2.7
Nicole Friedman,Hadoop,BTECH,"figma, css, javascript, bootstrap",8.4
Jason Le,DevOps,BE,"ci/cd, docker, kubernetes",1.3
Randy Hernandez,PMO,BTECH,"project management, agile, ms project, jira",2.2
Shane Ward,ETL Developer,BE,"etl, sql, informatica",4.7
Jessica Chandler,SAP Developer,MBA,"fiori, sap hana, erp, abap, sap",10.9
Jeremy Thomas,DevOps,BTECH,"docker, ci/cd, ansible, kubernetes, jenkins",14.7
Amy Harris,Database,BE,"postgresql, oracle, sql, mongodb",1.6
Tara Cardenas,HR,MBA,"communication, employee relations, ms excel, recruitment, interviewing",10.2
Robert Long,Web Designing,BSC,"css, bootstrap, figma, html",1.7
Timothy Clay,Network Security Engineer,BE,"vpn, cybersecurity, firewall, networking, security",2.3
Joshua Evans,Network Security Engineer,BTECH,"vpn, networking, security",12.5
Virginia Harvey,Tableau Developer,BTECH,"sql, tableau, dashboards, bi tools, data visualization",1.1
Debra Stewart,Advocate,PHD,"legal research, litigation, contracts, law, drafting",14.1
Katherine Thomas,Data Scientist,MTECH,"python, deep learning, ml, statistics, data mining",3.8
Kathleen Becker,Operations Manager,MBA,"team management, operations, strategy, supply chain, logistics",11.6
Larry George,Database,BE,"oracle, mongodb, dbms, postgresql, sql",13.9
Peter Ryan DDS,Engineer,BTECH,"embedded systems, c, c++, control systems, matlab",8.1
Matthew Lee,DotNet Developer,BTECH,"asp.net, entity framework, mvc, .net, c#",7.2
Jeremy Shannon,Automation Testing,BE,"automation, junit, selenium, pytest, python",10.7
Briana Johnson,Health and fitness,BA,"training, nutrition, yoga, fitness coaching, anatomy",7.7
Shawn Swanson,PMO,MBA,"jira, ms project, scrum",6.1
Kevin Lang,Sales,BA,"cold calling, crm, , negotiation, lead generation",0.7
Brooke Mcconnell,HR,MBA,"interviewing, communication, recruitment, ms excel, employee relations",8.1
Karen Brown,Hadoop,MBA,"interviewing, ms excel, employee relations, recruitment",1.5
Angel Gonzalez,Advocate,BA,"contracts, litigation, legal research, drafting",12.4
Katie May,Health and fitness,BA,"yoga, nutrition, anatomy, training",10.8
Gregory Bryant,Java Developer,BE,"hibernate, rest api, microservices, java",11.1
Patricia Jenkins,Sales,BA,"negotiation, crm, , cold calling, lead generation",13.7
Jeffrey Reid Jr.,Civil Engineer,BE,"autocad, construction, estimation, staad pro, structural analysis",6.1
Anna Duffy,Engineer,BTECH,"control systems, embedded systems, c++",13.8
Latasha Nelson,Business Analyst,BTECH,"requirement gathering, power bi, sql, excel, analytics",14.8
Matthew Taylor,Network Security Engineer,MTECH,"jenkins, docker, ansible",12.6
Brandon Clark,Hadoop,BTECH,"junit, selenium, pytest",5.8
Emma Pierce,Arts,BA,"   , drawing, history, sculpting, painting",14.3
Ashlee Roy,Operations Manager,BTECH,"supply chain, strategy, operations, logistics, team management",10.5
Jeanette Osborne,Civil Engineer,BE,"autocad, structural analysis, staad pro",6.6
Ariel Jenkins,Health and fitness,BSC,"yoga, nutrition, anatomy, training, fitness coaching",6.5
Lisa Frazier MD,DotNet Developer,BTECH,"entity framework, mvc, asp.net, .net, c#",2.3
Dr. Darren Torres,Operations Manager,BTECH,"operations, team management, logistics",13.4
Karen Moreno,Business Analyst,BTECH,"power bi, analytics, requirement gathering",13.9
Mr. Jaime Boone,DevOps,MTECH,"kubernetes, docker, ci/cd",4.0
Kelly Wu,Advocate,BA,"contracts, litigation, law, drafting, legal research",7.3
Jonathan Doyle,Hadoop,BE,"spark, pig, hive,  , mapreduce",8.6
Jeremy Rubio,Data Scientist,MTECH,"data mining, deep learning, python",3.1
Jennifer Jones,Advocate,BA,"drafting, contracts, legal research, law, litigation",8.1
John Holder,Mechanical Engineer,BE,"cam, mechanics, thermodynamics",14.3
Austin Romero,PMO,MBA,"ms project, jira, agile, scrum, project management",10.9
Frederick Edwards,Database,MTECH,"sql, mongodb, dbms, oracle",2.0
Carlos Henry,Database,BE,"dbms, mongodb, oracle, sql",9.1
Mitchell Griffin,Automation Testing,BE,"pytest, junit, python",2.2
Christopher Barry,Electrical Engineer,BE,"vlsi, matlab, signal processing",5.7
Richard Gray,DevOps,MTECH,,5.7
Renee Cruz,Data Scientist,MTECH,"statistics, deep learning, data mining, python",7.7
Valerie Nguyen,Business Analyst,BA,"requirement gathering, excel, power bi",8.6
Michael Conner,Electrical Engineer,BTECH,"electronics, signal processing, circuit design, matlab",0.3
Curtis Walker Jr.,SAP Developer,BTECH,"erp, fiori, abap, sap hana, sap",12.7
Paige Peterson,Health and fitness,BSC,"nutrition, training, yoga",11.2
Shaun Ruiz,Arts,BA,"   , psychology, drawing, painting",0.3
Nicholas Brown,Tableau Developer,BTECH,"tableau, bi tools, sql",11.7
Robert Schaefer,SAP Developer,BTECH,"fiori, sap, abap, sap hana",0.9
Anthony Fuller,Web Designing,BSC,"html, bootstrap, javascript, css, figma",12.1
Carol Lee,Operations Manager,MBA,"logistics, supply chain, strategy",9.7
Mark Terry,Advocate,PHD,"drafting, legal research, contracts",12.0
Wayne Daugherty,Business Analyst,MBA,"excel, analytics, power bi, requirement gathering, sql",14.2
Tiffany Bush,Tableau Developer,MBA,"sql, bi tools, dashboards",9.9
Jeff Cruz,Business Analyst,BTECH,"requirement gathering, analytics, power bi, sql, excel",14.3
Danielle Barton,Mechanical Engineer,BTECH,"cam, autocad, thermodynamics",6.8
Mary Barber,PMO,MBA,"agile, scrum, jira",9.5
Lisa Rodriguez,Data Scientist,PHD,"statistics, deep learning, ml, python, data mining",11.5
Michael Thomas,Civil Engineer,BTECH,"structural analysis, staad pro, construction, autocad",3.4
Scott Arnold,Business Analyst,BTECH,"analytics, requirement gathering, sql, power bi",12.6
Samantha Morrison,PMO,MBA,"jira, scrum, project management, ms project, agile",8.4
Beverly Bauer,HR,BA,"interviewing, employee relations, communication",2.7
Mrs. Linda Wilson,DevOps,MTECH,"ci/cd, jenkins, kubernetes, ansible, docker",5.3
Elizabeth Li,Engineer,BE,"matlab, control systems, embedded systems",0.0
Anthony Harris,Hadoop,BE,"jenkins, ansible, ci/cd, kubernetes",12.2
Stephanie Martinez,Automation Testing,BE,"selenium, automation, pytest, python, junit",5.2
Molly Becker,Automation Testing,BE,"data warehousing, informatica, etl, ssrs",11.9
Kimberly Davis,Automation Testing,BTECH,"junit, python, automation, pytest, selenium",0.6
Adam Larson,Blockchain,BTECH,"solidity, smart contracts, ethereum, web3.js, ",1.8
Ms. Denise Cannon,Sales,MBA,"negotiation, crm, , lead generation",0.8
Mario Alvarez,DotNet Developer,BE,"c#, .net, entity framework",1.2
Edward Nguyen,Electrical Engineer,BTECH,"electronics, signal processing, circuit design",7.7
Joshua Reynolds,Health and fitness,BA,"nutrition, fitness coaching, training, anatomy",11.5
Jessica Wilson,Web Designing,BA,"bootstrap, figma, html, css",8.3
Ricardo Zuniga,PMO,BTECH,"jira, ms project, project management, scrum, agile",12.4
Mary Scott,Advocate,PHD,"contracts, drafting, legal research",0.2
Perry Santos,Advocate,PHD,"litigation, contracts, law, drafting, legal research",12.9
Melanie Nichols,Health and fitness,BA,"yoga, fitness coaching, nutrition, anatomy",0.4
Melissa Price,Arts,BA,"psychology, sculpting, history,    , sociology",0.3
Yolanda Lyons,Civil Engineer,BE,"construction, structural analysis, autocad",7.7
Heather Williams,SAP Developer,MBA,"abap, fiori, sap hana",3.3
Jacob Wiley,Advocate,BA,"law, contracts, litigation, legal research",3.5
Robin Herring,Arts,BA,"drawing, history,    , sociology",0.6
Michael Lyons,Web Designing,BTECH,"javascript, figma, bootstrap",5.6
Kelsey Baker,SAP Developer,BE,"spark,  , mapreduce, hive, pig",5.0
Mr. Dennis Scott,DotNet Developer,BTECH,"entity framework, asp.net, c#, mvc, .net",0.5
Todd Poole,Hadoop,BE,"mapreduce,  , hive, pig, spark",8.9
Frederick Pruitt,Database,MTECH,"sql, oracle, postgresql, mongodb, dbms",13.6
William West,Tableau Developer,BTECH,"bi tools, data visualization, dashboards, tableau, sql",1.9
Kathryn Turner,Business Analyst,BA,"excel, power bi, analytics, sql",3.6
Richard Middleton,Electrical Engineer,BE,"matlab, electronics, circuit design",14.0
Fernando Johnson,Health and fitness,BA,"nutrition, anatomy, yoga, fitness coaching",12.5
Caitlin Doyle,Civil Engineer,BE,"structural analysis, staad pro, construction",1.6
Danielle Mendoza,Advocate,BA,"contracts, law, drafting",6.9
Mikayla Obrien,Web Designing,BSC,"figma, html, bootstrap",10.3
Melissa Burke,PMO,BTECH,"project management, ms project, jira",14.6
Lisa Wilkerson,Advocate,PHD,"contracts, litigation, drafting, legal research, law",9.3
Patrick Robles,Blockchain,MTECH,", smart contracts, web3.js, ethereum, solidity",2.1
Jeremy Pitts,PMO,BTECH,"agile, project management, scrum",6.8
Jordan Duarte,Automation Testing,BTECH,"pytest, python, selenium",9.1
Kevin Peters,Web Designing,BTECH,"javascript, figma, bootstrap, css",12.2
Christopher Williams,Sales,MBA,"lead generation, , cold calling, crm",8.0
Cheyenne Page,DotNet Developer,BTECH,"c#, .net, asp.net",11.4
Danny Wilson,Sales,BA,", lead generation, crm, cold calling, negotiation",3.5
James Stevens,Electrical Engineer,BTECH,"matlab, circuit design, vlsi, signal processing",6.9
Melissa Harrell,Hadoop,BE,"pig, spark,  , hive, mapreduce",10.4
Andrew Williams,Web Designing,BA,"bootstrap, css, javascript",9.4
Jennifer Wilson,Sales,BA,"lead generation, negotiation, ",14.5
Jessica Lowery,Business Analyst,BTECH,"power bi, requirement gathering, sql, excel, analytics",9.4
Dr. Dan Grimes,Blockchain,BTECH,"cybersecurity, vpn, firewall, security",7.3
Lisa White,ETL Developer,BE,"informatica, data warehousing, sql, ssrs",2.5
Sarah Allen,Java Developer,BE,"java, microservices, rest api, hibernate, spring",11.8
Kenneth Dunn,Engineer,BE,"embedded systems, control systems, matlab, c, c++",11.9
Amy Oconnell,Data Scientist,PHD,"ml, data mining, python, deep learning",8.3
Brian Pham,Civil Engineer,BTECH,"staad pro, structural analysis, estimation",7.9
Raymond Smith,Web Designing,BSC,"figma, javascript, html, bootstrap",9.1
Ralph Pierce,ETL Developer,BTECH,"control systems, embedded systems, c, matlab, c++",0.1
Cindy Barnes,Electrical Engineer,BE,"electronics, signal processing, circuit design, vlsi",6.1
Lisa Garcia,SAP Developer,MBA,"sap, erp, fiori, abap",6.8
David Wright,Blockchain,BTECH,"smart contracts, , web3.js, solidity",2.0
Stephen Hooper,HR,MBA,"interviewing, employee relations, ms excel, communication",13.9
Melissa Chapman,Tableau Developer,BTECH,"data visualization, dashboards, sql, tableau",11.9
Cindy Edwards,Python Developer,MTECH,"fastapi, flask, python",13.8
Brent West,PMO,MBA,"project management, jira, agile, ms project, scrum",10.1
Kimberly Ramsey,Data Scientist,BA,"power bi, excel, sql",5.9
Eric Perez,DevOps,MTECH,"docker, ci/cd, kubernetes, ansible",1.1
Tracy Cox,Hadoop,MTECH,"mapreduce, pig, spark,  , hive",12.4
Ethan Hernandez,Tableau Developer,BTECH,"tableau, dashboards, bi tools, data visualization",11.8
Scott Weber,Arts,BA,"   , sculpting, painting",12.0
